"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка текста подтверждения после оформления заказа","781","Проверка текста завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 10:40:29 UTC 2026","passed","Sun May 24 10:40:30 UTC 2026","tests.CheckoutCompleteTest","Edge Tests","tests.CheckoutCompleteTest","checkCompleteOrderText"
"Проверка кнопки Cancel на checkout information странице","700","Проверка возврата в корзину при нажатии кнопки Cancel","Sauce Demo Cross Browser Suite","Sun May 24 10:40:45 UTC 2026","passed","Sun May 24 10:40:45 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","checkoutInformationCancelReturnsToCart"
"Проверка ошибок авторизации при некорректных данных","380","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:40:16 UTC 2026","passed","Sun May 24 10:40:17 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkNegativeLogin"
"Проверка отображения данных товара","168","Проверка отображения карточки товара с названием и ценой","Sauce Demo Cross Browser Suite","Sun May 24 10:40:20 UTC 2026","passed","Sun May 24 10:40:20 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldDisplayProductCardWithNameAndPrice"
"Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","179","Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","Sauce Demo Cross Browser Suite","Sun May 24 10:40:05 UTC 2026","passed","Sun May 24 10:40:05 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldBeOnCartPage"
"Проверка завершения заказа через кнопку Finish","761","Проверка перехода на страницу завершения заказа после нажатия Finish","Sauce Demo Cross Browser Suite","Sun May 24 10:40:47 UTC 2026","passed","Sun May 24 10:40:48 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkFinishOrder"
"Переход из корзины в оформление заказа","261","Проверка перехода на Checkout страницу","Sauce Demo Cross Browser Suite","Sun May 24 10:41:24 UTC 2026","passed","Sun May 24 10:41:25 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldNavigateToCheckoutPage"
"Переход в корзину","217","Проверка перехода в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:41:23 UTC 2026","passed","Sun May 24 10:41:23 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldNavigateToCartPage"
"Проверка загрузки страницы Products","174","Проверка открытия страницы продуктов и отображения заголовка","Sauce Demo Cross Browser Suite","Sun May 24 10:40:03 UTC 2026","passed","Sun May 24 10:40:03 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldBeOnProductsPage"
"Проверка ошибок авторизации при некорректных данных","400","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:40:18 UTC 2026","passed","Sun May 24 10:40:19 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"Проверка кнопки Back Home и редиректа на каталог","870","Проверка возврата на страницу товаров после завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 10:40:49 UTC 2026","passed","Sun May 24 10:40:50 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkBackHomeReturnsToProducts"
"Переход назад к товарам через Continue Shopping","260","Проверка возврата на страницу товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:41:28 UTC 2026","passed","Sun May 24 10:41:28 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldReturnToProductsPageFromCart"
"Проверка количества товаров","126","Проверка отображения всех товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:41:26 UTC 2026","passed","Sun May 24 10:41:27 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldDisplayAllProductsOnPage"
"Проверка отображения данных товара","202","Проверка отображения карточки товара с названием и ценой","Sauce Demo Cross Browser Suite","Sun May 24 10:40:20 UTC 2026","passed","Sun May 24 10:40:20 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldDisplayProductCardWithNameAndPrice"
"Проверка ошибок авторизации при некорректных данных","420","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:40:14 UTC 2026","passed","Sun May 24 10:40:15 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"Проверка успешной авторизации пользователя","595","Проверка успешного входа в систему с валидными учетными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:39:57 UTC 2026","passed","Sun May 24 10:39:58 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkLoginWithPositiveCred"
