"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","10268","Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","Sauce Demo Cross Browser Suite","Sun May 24 09:52:02 UTC 2026","broken","Sun May 24 09:52:12 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldBeOnCartPage"
"Проверка кнопки Cancel на странице Overview","10094","Проверка возврата на страницу товаров при нажатии Cancel","Sauce Demo Cross Browser Suite","Sun May 24 09:55:42 UTC 2026","broken","Sun May 24 09:55:53 UTC 2026","tests.CheckoutOverviewTest","Edge Tests","tests.CheckoutOverviewTest","checkCancelReturnsToCart"
"Проверка финального экрана успешного заказа","10186","Проверка успешного оформления заказа и отображения сообщения","Sauce Demo Cross Browser Suite","Sun May 24 09:53:29 UTC 2026","broken","Sun May 24 09:53:40 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkSuccessMessageDisplayed"
"Проверка ошибок авторизации при некорректных данных","909","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:53:43 UTC 2026","passed","Sun May 24 09:53:44 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkNegativeLogin"
"Проверка текста подтверждения после оформления заказа","10086","Проверка текста завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 09:56:25 UTC 2026","broken","Sun May 24 09:56:35 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkCompleteOrderText"
"Проверка кнопки Cancel на странице Overview","10105","Проверка возврата на страницу товаров при нажатии Cancel","Sauce Demo Cross Browser Suite","Sun May 24 09:55:43 UTC 2026","broken","Sun May 24 09:55:53 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkCancelReturnsToCart"
"Проверка ошибок авторизации при некорректных данных","905","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:53:43 UTC 2026","passed","Sun May 24 09:53:44 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"Проверка финального экрана успешного заказа","10096","Проверка успешного оформления заказа и отображения сообщения","Sauce Demo Cross Browser Suite","Sun May 24 09:53:29 UTC 2026","broken","Sun May 24 09:53:39 UTC 2026","tests.CheckoutCompleteTest","Edge Tests","tests.CheckoutCompleteTest","checkSuccessMessageDisplayed"
"Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","10250","Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","Sauce Demo Cross Browser Suite","Sun May 24 09:52:02 UTC 2026","broken","Sun May 24 09:52:12 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldBeOnCartPage"
"Добавление нескольких товаров","10178","Проверка увеличения счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:01:22 UTC 2026","broken","Sun May 24 10:01:32 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldIncreaseCartBadgeWhenAddingTwoProducts"
"Проверка кнопки Remove","10152","Проверка смены кнопки Add to Cart на Remove","Sauce Demo Cross Browser Suite","Sun May 24 09:59:58 UTC 2026","broken","Sun May 24 10:00:08 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldChangeAddToCartButtonToRemove"
"Проверка кнопок управления корзиной","10072","Проверка отображения кнопок Checkout и Continue Shopping","Sauce Demo Cross Browser Suite","Sun May 24 10:03:29 UTC 2026","broken","Sun May 24 10:03:39 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldDisplayActionButtonsInCart"
"Добавление товара в корзину","10384","Проверка добавления товара в корзину","Sauce Demo Cross Browser Suite","Sun May 24 09:57:08 UTC 2026","broken","Sun May 24 09:57:18 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldAddProductToCart"
"Проверка отображения данных товара","10128","Проверка отображения карточки товара с названием и ценой","Sauce Demo Cross Browser Suite","Sun May 24 09:54:16 UTC 2026","failed","Sun May 24 09:54:26 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldDisplayProductCardWithNameAndPrice"
"Добавление нескольких товаров и проверка их отображения","10081","Проверка добавления нескольких товаров в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:02:04 UTC 2026","broken","Sun May 24 10:02:14 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldContainMultipleProductsInCart"
"Проверка корректного заполнения формы и перехода на следующий шаг checkout","1593","Проверка успешного заполнения формы checkout information и перехода на следующий шаг","Sauce Demo Cross Browser Suite","Sun May 24 09:52:13 UTC 2026","passed","Sun May 24 09:52:14 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","successCheckoutInformationFill"
"Переход назад к товарам через Continue Shopping","10068","Проверка возврата на страницу товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:06:17 UTC 2026","broken","Sun May 24 10:06:27 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldReturnToProductsPageFromCart"
"Добавление нескольких товаров","10142","Проверка увеличения счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:01:23 UTC 2026","broken","Sun May 24 10:01:33 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldIncreaseCartBadgeWhenAddingTwoProducts"
"Корзина становится пустой после удаления товара","10083","Проверка, что корзина пустая после удаления товара","Sauce Demo Cross Browser Suite","Sun May 24 10:00:40 UTC 2026","broken","Sun May 24 10:00:50 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldBeEmptyCartAfterRemovingProduct"
"Проверка текста подтверждения после оформления заказа","10080","Проверка текста завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 09:56:24 UTC 2026","broken","Sun May 24 09:56:35 UTC 2026","tests.CheckoutCompleteTest","Edge Tests","tests.CheckoutCompleteTest","checkCompleteOrderText"
"Проверка кнопки Remove","10197","Проверка смены кнопки Add to Cart на Remove","Sauce Demo Cross Browser Suite","Sun May 24 09:59:57 UTC 2026","broken","Sun May 24 10:00:08 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldChangeAddToCartButtonToRemove"
"Добавление товара в корзину","10191","Проверка добавления товара в корзину","Sauce Demo Cross Browser Suite","Sun May 24 09:57:07 UTC 2026","broken","Sun May 24 09:57:17 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldAddProductToCart"
"Проверка кнопок управления корзиной","10056","Проверка отображения кнопок Checkout и Continue Shopping","Sauce Demo Cross Browser Suite","Sun May 24 10:03:28 UTC 2026","broken","Sun May 24 10:03:38 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldDisplayActionButtonsInCart"
"Удаление товара через кнопку Remove","10082","Проверка удаления товара из корзины","Sauce Demo Cross Browser Suite","Sun May 24 09:57:50 UTC 2026","broken","Sun May 24 09:58:00 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldRemoveProductFromCart"
"Переход в корзину","10168","Проверка перехода в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:04:10 UTC 2026","broken","Sun May 24 10:04:21 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldNavigateToCartPage"
"Проверка отображения данных товара","10168","Проверка отображения карточки товара с названием и ценой","Sauce Demo Cross Browser Suite","Sun May 24 09:54:17 UTC 2026","failed","Sun May 24 09:54:27 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldDisplayProductCardWithNameAndPrice"
"Переход в корзину","10154","Проверка перехода в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:04:11 UTC 2026","broken","Sun May 24 10:04:22 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldNavigateToCartPage"
"Проверка завершения заказа через кнопку Finish","10092","Проверка перехода на страницу завершения заказа после нажатия Finish","Sauce Demo Cross Browser Suite","Sun May 24 09:58:33 UTC 2026","broken","Sun May 24 09:58:43 UTC 2026","tests.CheckoutOverviewTest","Edge Tests","tests.CheckoutOverviewTest","checkFinishOrder"
"Проверка кнопки Cancel на checkout information странице","1207","Проверка возврата в корзину при нажатии кнопки Cancel","Sauce Demo Cross Browser Suite","Sun May 24 09:58:01 UTC 2026","passed","Sun May 24 09:58:02 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","checkoutInformationCancelReturnsToCart"
"Проверка ошибок авторизации при некорректных данных","914","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:53:40 UTC 2026","passed","Sun May 24 09:53:41 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"Корзина становится пустой после удаления товара","10101","Проверка, что корзина пустая после удаления товара","Sauce Demo Cross Browser Suite","Sun May 24 10:00:40 UTC 2026","broken","Sun May 24 10:00:50 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldBeEmptyCartAfterRemovingProduct"
"Проверка завершения заказа через кнопку Finish","10087","Проверка перехода на страницу завершения заказа после нажатия Finish","Sauce Demo Cross Browser Suite","Sun May 24 09:58:34 UTC 2026","broken","Sun May 24 09:58:44 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkFinishOrder"
"Валидация обязательных полей checkout формы","1514","Проверка отображения ошибки при незаполненных полях формы checkout information","Sauce Demo Cross Browser Suite","Sun May 24 09:55:09 UTC 2026","passed","Sun May 24 09:55:10 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","checkoutInformationEmptyFieldsError"
"Переход из корзины в оформление заказа","10077","Проверка перехода на Checkout страницу","Sauce Demo Cross Browser Suite","Sun May 24 10:04:53 UTC 2026","broken","Sun May 24 10:05:03 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldNavigateToCheckoutPage"
"Проверка количества товаров","10192","Проверка отображения всех товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:05:35 UTC 2026","failed","Sun May 24 10:05:45 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldDisplayAllProductsOnPage"
"Проверка ошибок авторизации при некорректных данных","939","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:53:41 UTC 2026","passed","Sun May 24 09:53:42 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkNegativeLogin"
"Удаление товара","10163","Проверка обновления счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:02:47 UTC 2026","broken","Sun May 24 10:02:57 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldDecreaseCartBadgeWhenRemovingProduct"
"Проверка ошибок авторизации при некорректных данных","993","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:53:40 UTC 2026","passed","Sun May 24 09:53:41 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkNegativeLogin"
"Проверка загрузки страницы Products","10333","Проверка открытия страницы продуктов и отображения заголовка","Sauce Demo Cross Browser Suite","Sun May 24 09:51:18 UTC 2026","broken","Sun May 24 09:51:28 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldBeOnProductsPage"
"Валидация обязательных полей checkout формы","1479","Проверка отображения ошибки при незаполненных полях формы checkout information","Sauce Demo Cross Browser Suite","Sun May 24 09:55:10 UTC 2026","passed","Sun May 24 09:55:11 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","checkoutInformationEmptyFieldsError"
"Проверка добавления товара и его данных в корзине","10134","Проверка добавления товара в корзину и корректности его отображения","Sauce Demo Cross Browser Suite","Sun May 24 09:54:59 UTC 2026","broken","Sun May 24 09:55:09 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldContainCorrectProductInCart"
"Проверка кнопки Back Home и редиректа на каталог","10122","Проверка возврата на страницу товаров после завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 09:59:15 UTC 2026","broken","Sun May 24 09:59:25 UTC 2026","tests.CheckoutCompleteTest","Edge Tests","tests.CheckoutCompleteTest","checkBackHomeReturnsToProducts"
"Проверка корректного заполнения формы и перехода на следующий шаг checkout","1729","Проверка успешного заполнения формы checkout information и перехода на следующий шаг","Sauce Demo Cross Browser Suite","Sun May 24 09:52:13 UTC 2026","passed","Sun May 24 09:52:14 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","successCheckoutInformationFill"
"Добавление нескольких товаров и проверка их отображения","10118","Проверка добавления нескольких товаров в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:02:05 UTC 2026","broken","Sun May 24 10:02:15 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldContainMultipleProductsInCart"
"Проверка загрузки страницы Products","10624","Проверка открытия страницы продуктов и отображения заголовка","Sauce Demo Cross Browser Suite","Sun May 24 09:51:18 UTC 2026","broken","Sun May 24 09:51:28 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldBeOnProductsPage"
"Проверка успешной авторизации пользователя","1588","Проверка успешного входа в систему с валидными учетными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:51:03 UTC 2026","passed","Sun May 24 09:51:04 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkLoginWithPositiveCred"
